                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.131,                 1.2668,                 1.2325,                0.79055,                0.67713,                0.76836,                 0.5455,                 1.0637,                 1.0399,                 1.1961,               0.006634,               0.006634,               0.006634
                     36,                 1.1243,                  1.254,                 1.2239,                0.81246,                0.67704,                0.76755,                0.54045,                 1.0643,                 1.0328,                 1.1922,               0.006535,               0.006535,               0.006535
                     37,                 1.1241,                 1.2418,                  1.224,                0.78113,                0.69386,                0.76588,                0.53598,                 1.0549,                 1.0244,                 1.1839,               0.006436,               0.006436,               0.006436
                     38,                 1.1093,                 1.2247,                 1.2167,                0.76489,                0.69976,                0.76603,                0.54121,                 1.0582,                  1.028,                 1.1842,               0.006337,               0.006337,               0.006337
                     39,                  1.107,                 1.2174,                 1.2185,                 0.7564,                0.70939,                0.76557,                0.54612,                 1.0554,                  1.019,                 1.1818,               0.006238,               0.006238,               0.006238
                     40,                 1.1004,                 1.1891,                  1.209,                0.78209,                0.70198,                0.77524,                0.54479,                 1.0511,                 1.0132,                 1.1776,               0.006139,               0.006139,               0.006139
                     41,                 1.1039,                 1.1941,                 1.2123,                0.78388,                0.70282,                0.78231,                0.54088,                  1.067,                 1.0132,                 1.1907,                0.00604,                0.00604,                0.00604
                     42,                 1.0977,                 1.1981,                 1.2096,                0.80917,                0.69528,                0.78313,                0.54823,                 1.0595,                0.99496,                 1.1856,               0.005941,               0.005941,               0.005941
                     43,                 1.0933,                 1.1763,                 1.2024,                 0.7771,                0.71275,                0.78003,                0.54711,                 1.0639,                 1.0014,                 1.1904,               0.005842,               0.005842,               0.005842
                     44,                  1.094,                  1.171,                 1.2019,                0.80878,                0.68737,                0.78109,                0.55049,                 1.0485,                0.99045,                 1.1765,               0.005743,               0.005743,               0.005743
                     45,                 1.0909,                 1.1547,                 1.2045,                0.80114,                0.70227,                0.78345,                0.55812,                 1.0323,                0.97563,                 1.1626,               0.005644,               0.005644,               0.005644
                     46,                 1.0752,                 1.1454,                 1.1951,                0.78108,                0.72685,                0.78883,                0.55687,                 1.0434,                0.97478,                 1.1708,               0.005545,               0.005545,               0.005545
                     47,                 1.0804,                 1.1444,                 1.1929,                0.82242,                0.69284,                0.79019,                 0.5618,                 1.0398,                0.97337,                 1.1741,               0.005446,               0.005446,               0.005446
                     48,                  1.075,                 1.1346,                 1.1913,                0.78913,                0.71564,                0.78752,                0.55649,                 1.0391,                0.97005,                 1.1761,               0.005347,               0.005347,               0.005347
                     49,                 1.0646,                 1.1103,                 1.1831,                0.79925,                0.71291,                0.79226,                0.56505,                 1.0345,                0.96112,                 1.1677,               0.005248,               0.005248,               0.005248
                     50,                 1.0715,                 1.1176,                 1.1903,                0.81715,                0.72281,                0.79625,                0.56397,                 1.0393,                0.96132,                 1.1684,               0.005149,               0.005149,               0.005149
                     51,                  1.058,                 1.1105,                 1.1817,                0.80193,                0.71977,                0.79254,                0.56628,                 1.0419,                 0.9522,                 1.1676,                0.00505,                0.00505,                0.00505
                     52,                  1.057,                 1.1098,                 1.1768,                0.81353,                0.70674,                0.79415,                0.56707,                 1.0418,                0.95118,                 1.1696,               0.004951,               0.004951,               0.004951
                     53,                 1.0569,                 1.0878,                 1.1796,                 0.7832,                0.73548,                0.79329,                0.56574,                 1.0401,                0.94565,                 1.1689,               0.004852,               0.004852,               0.004852
                     54,                 1.0548,                 1.0876,                 1.1785,                0.78704,                0.73819,                0.79424,                0.56756,                 1.0261,                 0.9405,                 1.1579,               0.004753,               0.004753,               0.004753
                     55,                 1.0432,                 1.0771,                 1.1717,                0.80867,                0.71813,                0.79829,                0.56882,                 1.0309,                0.93294,                 1.1651,               0.004654,               0.004654,               0.004654
                     56,                 1.0434,                 1.0605,                 1.1658,                0.81964,                 0.7135,                0.79635,                0.56594,                 1.0322,                0.94475,                 1.1652,               0.004555,               0.004555,               0.004555
                     57,                 1.0479,                 1.0785,                 1.1742,                0.83471,                0.71356,                0.80544,                0.57379,                 1.0272,                0.92396,                 1.1623,               0.004456,               0.004456,               0.004456
                     58,                 1.0422,                 1.0617,                 1.1655,                0.82752,                 0.7094,                0.80104,                0.57532,                 1.0255,                0.92757,                 1.1576,               0.004357,               0.004357,               0.004357
